source_name	source_type	source_id	target_name	target_type	target_id	relation_type	resource	pmid
PDGFRB	Gene	ENTREZ:5159	Fibrosis	Disease	MESH:D005355	GNBR::G::Gene:Disease	FIBROAD	32229310
PDGFRB	Gene	ENTREZ:5159	fibrotic liver disease	Disease	MONDO:0100430	GNBR::G::Gene:Disease	FIBROAD	30024280
PF4	Gene	ENTREZ:5196	fibrotic liver disease	Disease	MONDO:0100430	GNBR::G::Gene:Disease	FIBROAD	24890045
PF4	Gene	ENTREZ:5196	primary myelofibrosis	Disease	MONDO:0009692	GNBR::G::Gene:Disease	FIBROAD	32726410
PF4	Gene	ENTREZ:5196	systemic sclerosis	Disease	MONDO:0005100	GNBR::G::Gene:Disease	FIBROAD	32284212
PF4	Gene	ENTREZ:5196	fibrotic liver disease	Disease	MONDO:0100430	GNBR::G::Gene:Disease	FIBROAD	20162727
PIN1	Gene	ENTREZ:5300	pulmonary fibrosis	Disease	MONDO:0002771	GNBR::G::Gene:Disease	FIBROAD	18188456
PIN1	Gene	ENTREZ:5300	fibrotic liver disease	Disease	MONDO:0100430	GNBR::G::Gene:Disease	FIBROAD	24530597
PIN1	Gene	ENTREZ:5300	endomyocardial fibrosis	Disease	MONDO:0006746	GNBR::G::Gene:Disease	FIBROAD	30246389
PIN1	Gene	ENTREZ:5300	pulmonary fibrosis	Disease	MONDO:0002771	GNBR::G::Gene:Disease	FIBROAD	22613712
PLAT	Gene	ENTREZ:5327	renal fibrosis	Disease	MONDO:0000494	GNBR::G::Gene:Disease	FIBROAD	18199803
PLAT	Gene	ENTREZ:5327	endomyocardial fibrosis	Disease	MONDO:0006746	GNBR::D::Gene:Disease	FIBROAD	30016078
PLAT	Gene	ENTREZ:5327	renal fibrosis	Disease	MONDO:0000494	GNBR::G::Gene:Disease	FIBROAD	18037995
PLAT	Gene	ENTREZ:5327	renal fibrosis	Disease	MONDO:0000494	GNBR::G::Gene:Disease	FIBROAD	12438450
PLAU	Gene	ENTREZ:5328	endomyocardial fibrosis	Disease	MONDO:0006746	GNBR::G::Gene:Disease	FIBROAD	16880329
PLAU	Gene	ENTREZ:5328	fibrotic liver disease	Disease	MONDO:0100430	GNBR::D::Gene:Disease	FIBROAD	14741775
PLAU	Gene	ENTREZ:5328	endomyocardial fibrosis	Disease	MONDO:0006746	GNBR::G::Gene:Disease	FIBROAD	22013113
PLAUR	Gene	ENTREZ:5329	endomyocardial fibrosis	Disease	MONDO:0006746	GNBR::G::Gene:Disease	FIBROAD	22013113
PLAUR	Gene	ENTREZ:5329	keloid	Disease	MONDO:0005348	GNBR::D::Gene:Disease	FIBROAD	23852693
PLAUR	Gene	ENTREZ:5329	Fibrosis	Disease	MESH:D005355	GNBR::G::Gene:Disease	FIBROAD	18997817
PLAUR	Gene	ENTREZ:5329	pulmonary fibrosis	Disease	MONDO:0002771	GNBR::G::Gene:Disease	FIBROAD	23806081
PLG	Gene	ENTREZ:5340	chronic pancreatitis	Disease	MONDO:0005003	GNBR::D::Gene:Disease	FIBROAD	16952557
PLG	Gene	ENTREZ:5340	renal fibrosis	Disease	MONDO:0000494	GNBR::G::Gene:Disease	FIBROAD	17267741
PPARG	Gene	ENTREZ:5468	endomyocardial fibrosis	Disease	MONDO:0006746	GNBR::D::Gene:Disease	FIBROAD	28330809
PPARG	Gene	ENTREZ:5468	renal fibrosis	Disease	MONDO:0000494	GNBR::D::Gene:Disease	FIBROAD	30032428
PPARG	Gene	ENTREZ:5468	cystic fibrosis	Disease	MONDO:0009061	GNBR::D::Gene:Disease	FIBROAD	20154695
PPARG	Gene	ENTREZ:5468	fibrotic liver disease	Disease	MONDO:0100430	GNBR::D::Gene:Disease	FIBROAD	14512888
PROC	Gene	ENTREZ:5624	Fibrosis	Disease	MESH:D005355	GNBR::D::Gene:Disease	FIBROAD	15118539
PROC	Gene	ENTREZ:5624	pulmonary fibrosis	Disease	MONDO:0002771	GNBR::D::Gene:Disease	FIBROAD	15118528
PROC	Gene	ENTREZ:5624	pulmonary fibrosis	Disease	MONDO:0002771	GNBR::D::Gene:Disease	FIBROAD	12738599
PROC	Gene	ENTREZ:5624	pulmonary fibrosis	Disease	MONDO:0002771	GNBR::D::Gene:Disease	FIBROAD	11401891
SDC1	Gene	ENTREZ:6382	fibrotic liver disease	Disease	MONDO:0100430	GNBR::D::Gene:Disease	FIBROAD	29454902
SDC1	Gene	ENTREZ:6382	renal fibrosis	Disease	MONDO:0000494	GNBR::D::Gene:Disease	FIBROAD	22237752
SDC1	Gene	ENTREZ:6382	endomyocardial fibrosis	Disease	MONDO:0006746	GNBR::G::Gene:Disease	FIBROAD	20048198
SDC1	Gene	ENTREZ:6382	pulmonary fibrosis	Disease	MONDO:0002771	GNBR::G::Gene:Disease	FIBROAD	31393853
SERPINA1	Gene	ENTREZ:5265	fibrotic liver disease	Disease	MONDO:0100430	GNBR::D::Gene:Disease	FIBROAD	30068662
SERPINA1	Gene	ENTREZ:5265	fibrotic liver disease	Disease	MONDO:0100430	GNBR::D::Gene:Disease	FIBROAD	29572094
SERPINA1	Gene	ENTREZ:5265	fibrotic liver disease	Disease	MONDO:0100430	GNBR::D::Gene:Disease	FIBROAD	29500128
SERPINE1	Gene	ENTREZ:5054	endomyocardial fibrosis	Disease	MONDO:0006746	GNBR::D::Gene:Disease	FIBROAD	28588076
SERPINE1	Gene	ENTREZ:5054	renal fibrosis	Disease	MONDO:0000494	GNBR::G::Gene:Disease	FIBROAD	19322185
SERPINE1	Gene	ENTREZ:5054	endomyocardial fibrosis	Disease	MONDO:0006746	GNBR::D::Gene:Disease	FIBROAD	33432417
SERPINE1	Gene	ENTREZ:5054	atherosclerosis	Disease	MONDO:0005311	GNBR::G::Gene:Disease	FIBROAD	11502712
SERPINH1	Gene	ENTREZ:871	Fibrosis	Disease	MESH:D005355	GNBR::G::Gene:Disease	FIBROAD	27838364
SERPINH1	Gene	ENTREZ:871	fibrotic liver disease	Disease	MONDO:0100430	GNBR::G::Gene:Disease	FIBROAD	32378877
SERPINH1	Gene	ENTREZ:871	keloid	Disease	MONDO:0005348	GNBR::G::Gene:Disease	FIBROAD	29363541
SERPINH1	Gene	ENTREZ:871	keloid	Disease	MONDO:0005348	GNBR::G::Gene:Disease	FIBROAD	26091621
SFTPC	Gene	ENTREZ:6440	pulmonary fibrosis	Disease	MONDO:0002771	GNBR::D::Gene:Disease	FIBROAD	29920187
SFTPC	Gene	ENTREZ:6440	pulmonary fibrosis	Disease	MONDO:0002771	GNBR::D::Gene:Disease	FIBROAD	21828032
SFTPC	Gene	ENTREZ:6440	pulmonary fibrosis	Disease	MONDO:0002771	GNBR::D::Gene:Disease	FIBROAD	18566429
SIRT1	Gene	ENTREZ:23411	fibrotic liver disease	Disease	MONDO:0100430	GNBR::D::Gene:Disease	FIBROAD	27871879
SIRT1	Gene	ENTREZ:23411	renal fibrosis	Disease	MONDO:0000494	GNBR::D::Gene:Disease	FIBROAD	30614190
