source_name	source_type	target_name	target_type	source_id	target_id	pmid	relation_type	resource
AURKA	Gene	Breast Cancer	Disease	ENTREZ:6790		37565930	GNBR::Y::Gene:Disease	CBCG
AXIN2	Gene	Breast Cancer	Disease	ENTREZ:8313		18708403	GNBR::Y::Gene:Disease	CBCG
AXIN2	Gene	Breast Cancer	Disease	ENTREZ:8313		31063404	GNBR::Y::Gene:Disease	CBCG
AXIN2	Gene	Breast Cancer	Disease	ENTREZ:8313		26514524	GNBR::Y::Gene:Disease	CBCG
AXIN2	Gene	Breast Cancer	Disease	ENTREZ:8313		35996498	GNBR::Y::Gene:Disease	CBCG
AXIN2	Gene	Breast Cancer	Disease	ENTREZ:8313		18708403	GNBR::Y::Gene:Disease	CBCG
AXIN2	Gene	Breast Cancer	Disease	ENTREZ:8313		18708403	GNBR::Y::Gene:Disease	CBCG
AXIN2	Gene	Breast Cancer	Disease	ENTREZ:8313		31063404	GNBR::Y::Gene:Disease	CBCG
AXIN2	Gene	Breast Cancer	Disease	ENTREZ:8313		18708403	GNBR::Y::Gene:Disease	CBCG
AXIN2	Gene	Breast Cancer	Disease	ENTREZ:8313		18708403	GNBR::Y::Gene:Disease	CBCG
BABAM1	Gene	Breast Cancer	Disease	ENTREZ:29086		23136140	GNBR::Y::Gene:Disease	CBCG
BABAM1	Gene	Breast Cancer	Disease	ENTREZ:29086		27117709	GNBR::Y::Gene:Disease	CBCG
BARD1	Gene	Breast Cancer	Disease	ENTREZ:580		25452441	GNBR::Y::Gene:Disease	CBCG
BARD1	Gene	Breast Cancer	Disease	ENTREZ:580		31036035	GNBR::Y::Gene:Disease	CBCG
BARD1	Gene	Breast Cancer	Disease	ENTREZ:580		33471991	GNBR::Y::Gene:Disease	CBCG
BARD1	Gene	Breast Cancer	Disease	ENTREZ:580		35396981	GNBR::Y::Gene:Disease	CBCG
BARD1	Gene	Breast Cancer	Disease	ENTREZ:580		22544576	GNBR::Y::Gene:Disease	CBCG
BARD1	Gene	Breast Cancer	Disease	ENTREZ:580		15342711	GNBR::Y::Gene:Disease	CBCG
BARD1	Gene	Breast Cancer	Disease	ENTREZ:580		16825437	GNBR::Y::Gene:Disease	CBCG
BARD1	Gene	Breast Cancer	Disease	ENTREZ:580		31142030	GNBR::Y::Gene:Disease	CBCG
BARD1	Gene	Breast Cancer	Disease	ENTREZ:580		35084806	GNBR::Y::Gene:Disease	CBCG
BCKDHB	Gene	Breast Cancer	Disease	ENTREZ:594		36356581	GNBR::Y::Gene:Disease	CBCG
BCL2L11	Gene	Breast Cancer	Disease	ENTREZ:10018		29059683	GNBR::Y::Gene:Disease	CBCG
BCL2L15	Gene	Breast Cancer	Disease	ENTREZ:440603		36356581	GNBR::Y::Gene:Disease	CBCG
BET1	Gene	Breast Cancer	Disease	ENTREZ:10282		30323354	GNBR::Y::Gene:Disease	CBCG
BIVM-ERCC5	Gene	Breast Cancer	Disease	ENTREZ:100533467		20183911	GNBR::Y::Gene:Disease	CBCG
BIVM-ERCC5	Gene	Breast Cancer	Disease	ENTREZ:100533467		35691022	GNBR::Y::Gene:Disease	CBCG
BLM	Gene	Breast Cancer	Disease	ENTREZ:641		21815139	GNBR::Y::Gene:Disease	CBCG
BLM	Gene	Breast Cancer	Disease	ENTREZ:641		23225144	GNBR::Y::Gene:Disease	CBCG
BLM	Gene	Breast Cancer	Disease	ENTREZ:641		18974064	GNBR::Y::Gene:Disease	CBCG
BRCA1	Gene	Breast Cancer	Disease	ENTREZ:672		35042965	GNBR::Y::Gene:Disease	CBCG
BRCA1	Gene	Breast Cancer	Disease	ENTREZ:672		14576434	GNBR::Y::Gene:Disease	CBCG
BRCA1	Gene	Breast Cancer	Disease	ENTREZ:672		9497246	GNBR::Y::Gene:Disease	CBCG
BRCA1	Gene	Breast Cancer	Disease	ENTREZ:672		10413426	GNBR::Y::Gene:Disease	CBCG
BRCA1	Gene	Breast Cancer	Disease	ENTREZ:672		11044354	GNBR::Y::Gene:Disease	CBCG
BRCA1	Gene	Breast Cancer	Disease	ENTREZ:672		9145676	GNBR::Y::Gene:Disease	CBCG
BRCA1	Gene	Breast Cancer	Disease	ENTREZ:672		12677558	GNBR::Y::Gene:Disease	CBCG
BRCA1	Gene	Breast Cancer	Disease	ENTREZ:672		11352856	GNBR::Y::Gene:Disease	CBCG
BRCA1	Gene	Breast Cancer	Disease	ENTREZ:672		15994883	GNBR::Y::Gene:Disease	CBCG
BRCA1	Gene	Breast Cancer	Disease	ENTREZ:672		33471991	GNBR::Y::Gene:Disease	CBCG
BRCA1	Gene	Breast Cancer	Disease	ENTREZ:672		35396981	GNBR::Y::Gene:Disease	CBCG
BRCA1	Gene	Breast Cancer	Disease	ENTREZ:672		35218119	GNBR::Y::Gene:Disease	CBCG
BRCA1	Gene	Breast Cancer	Disease	ENTREZ:672		37300745	GNBR::Y::Gene:Disease	CBCG
BRCA2	Gene	Breast Cancer	Disease	ENTREZ:675		35042965	GNBR::Y::Gene:Disease	CBCG
BRCA2	Gene	Breast Cancer	Disease	ENTREZ:675		14576434	GNBR::Y::Gene:Disease	CBCG
BRCA2	Gene	Breast Cancer	Disease	ENTREZ:675		9497246	GNBR::Y::Gene:Disease	CBCG
BRCA2	Gene	Breast Cancer	Disease	ENTREZ:675		9802270	GNBR::Y::Gene:Disease	CBCG
BRCA2	Gene	Breast Cancer	Disease	ENTREZ:675		10413426	GNBR::Y::Gene:Disease	CBCG
BRCA2	Gene	Breast Cancer	Disease	ENTREZ:675		9145676	GNBR::Y::Gene:Disease	CBCG
BRCA2	Gene	Breast Cancer	Disease	ENTREZ:675		12677558	GNBR::Y::Gene:Disease	CBCG
BRCA2	Gene	Breast Cancer	Disease	ENTREZ:675		11352856	GNBR::Y::Gene:Disease	CBCG
BRCA2	Gene	Breast Cancer	Disease	ENTREZ:675		15994883	GNBR::Y::Gene:Disease	CBCG
BRCA2	Gene	Breast Cancer	Disease	ENTREZ:675		33471991	GNBR::Y::Gene:Disease	CBCG
