drugbank_id	status	valid
DB00375	{'approved'}	True
DB00376	{'approved'}	True
DB00377	{'approved', 'investigational'}	True
DB00378	{'approved', 'withdrawn', 'investigational'}	True
DB00379	{'approved', 'investigational'}	True
DB00380	{'approved', 'withdrawn'}	True
DB00381	{'approved'}	True
DB00382	{'approved', 'withdrawn', 'investigational'}	True
DB00383	{'approved'}	True
DB00384	{'approved'}	True
DB00385	{'approved'}	True
DB00387	{'approved'}	True
DB00388	{'approved'}	True
DB00389	{'approved', 'investigational'}	True
DB00390	{'approved'}	True
DB00391	{'approved', 'investigational'}	True
DB00392	{'approved'}	True
DB00393	{'approved', 'investigational'}	True
DB00394	{'approved', 'investigational'}	True
DB00395	{'approved'}	True
DB00396	{'approved', 'vet_approved'}	True
DB00397	{'approved', 'vet_approved', 'withdrawn'}	True
DB00398	{'approved', 'investigational'}	True
DB00399	{'approved'}	True
DB00400	{'approved', 'vet_approved', 'investigational'}	True
DB00401	{'approved'}	True
DB00402	{'approved', 'investigational'}	True
DB00403	{'approved'}	True
DB00404	{'approved', 'illicit', 'investigational'}	True
DB00405	{'approved'}	True
DB00406	{'approved'}	True
DB00407	{'approved', 'withdrawn', 'investigational'}	True
DB00408	{'approved'}	True
DB00409	{'approved', 'withdrawn'}	True
DB00410	{'approved', 'vet_approved', 'investigational'}	True
DB00411	{'approved'}	True
DB00412	{'approved', 'investigational'}	True
DB00413	{'approved', 'investigational'}	True
DB00414	{'approved', 'withdrawn', 'investigational'}	True
DB00415	{'approved', 'vet_approved'}	True
DB00416	{'approved', 'withdrawn'}	True
DB00417	{'approved', 'vet_approved'}	True
DB00418	{'approved', 'vet_approved'}	True
DB00419	{'approved'}	True
DB00420	{'approved', 'vet_approved'}	True
DB00421	{'approved'}	True
DB00422	{'approved', 'investigational'}	True
DB00423	{'approved', 'vet_approved'}	True
DB00424	{'approved'}	True
DB00425	{'approved'}	True
DB00426	{'approved', 'investigational'}	True
DB00427	{'approved'}	True
DB00428	{'approved', 'investigational'}	True
DB00429	{'approved'}	True
DB00430	{'approved'}	True
DB00431	{'approved', 'withdrawn'}	True
DB00432	{'approved', 'investigational'}	True
DB00433	{'approved', 'vet_approved'}	True
DB00434	{'approved'}	True
DB00435	{'approved'}	True
DB00436	{'approved'}	True
DB00437	{'approved'}	True
DB00438	{'approved'}	True
DB00439	{'approved', 'withdrawn'}	True
DB00440	{'approved', 'vet_approved'}	True
DB00441	{'approved'}	True
DB00442	{'approved', 'investigational'}	True
DB00443	{'approved', 'vet_approved'}	True
DB00444	{'approved'}	True
DB00445	{'approved'}	True
DB00446	{'approved', 'vet_approved', 'withdrawn'}	True
DB00447	{'approved', 'withdrawn', 'investigational'}	True
DB00448	{'approved', 'investigational'}	True
DB00449	{'approved'}	True
DB00450	{'approved', 'vet_approved'}	True
DB00451	{'approved'}	True
DB00452	{'approved'}	True
DB00453	{'experimental'}	True
DB00454	{'approved'}	True
DB00455	{'approved', 'investigational'}	True
DB00456	{'approved', 'vet_approved', 'investigational'}	True
DB00457	{'approved'}	True
DB00458	{'approved'}	True
DB00459	{'approved'}	True
DB00460	{'approved', 'investigational'}	True
DB00461	{'approved'}	True
DB00462	{'approved'}	True
DB00463	{'withdrawn'}	True
DB00464	{'approved', 'investigational'}	True
