source_name	source_type	target_name	target_type	source_id	target_id	relation_type	resource
CFH	Gene	IPF	Disease	ENTREZ:3075	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
F13B	Gene	IPF	Disease	ENTREZ:2165	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
PIGR	Gene	IPF	Disease	ENTREZ:5284	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
SERPINF1	Gene	IPF	Disease	ENTREZ:5176	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
VTN	Gene	IPF	Disease	ENTREZ:7448	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
APOH	Gene	IPF	Disease	ENTREZ:350	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
JAM2	Gene	IPF	Disease	ENTREZ:58494	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
UFM1	Gene	IPF	Disease	ENTREZ:51569	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
CLIC6	Gene	IPF	Disease	ENTREZ:54102	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
CBR1	Gene	IPF	Disease	ENTREZ:873	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
SCEL	Gene	IPF	Disease	ENTREZ:8796	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
TRAPPC10	Gene	IPF	Disease	ENTREZ:7109	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
DNAJC3	Gene	IPF	Disease	ENTREZ:5611	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
RAP2A	Gene	IPF	Disease	ENTREZ:5911	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
COL6A1	Gene	IPF	Disease	ENTREZ:1291	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
COL6A2	Gene	IPF	Disease	ENTREZ:1292	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
COL4A1	Gene	IPF	Disease	ENTREZ:1282	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
COLEC12	Gene	IPF	Disease	ENTREZ:81035	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
MICAL3	Gene	IPF	Disease	ENTREZ:57553	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
SERPIND1	Gene	IPF	Disease	ENTREZ:3053	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
FKBP1A	Gene	IPF	Disease	ENTREZ:2280	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
MIF	Gene	IPF	Disease	ENTREZ:4282	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
PCNA	Gene	IPF	Disease	ENTREZ:5111	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
MAPRE2	Gene	IPF	Disease	ENTREZ:10982	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
RBBP9	Gene	IPF	Disease	ENTREZ:10741	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
AP1B1	Gene	IPF	Disease	ENTREZ:162	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
THBD	Gene	IPF	Disease	ENTREZ:7056	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
HDHD2	Gene	IPF	Disease	ENTREZ:84064	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
SELENOM	Gene	IPF	Disease	ENTREZ:140606	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
AHCY	Gene	IPF	Disease	ENTREZ:191	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
TIMP3	Gene	IPF	Disease	ENTREZ:7078	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
NARS1	Gene	IPF	Disease	ENTREZ:4677	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
SAMHD1	Gene	IPF	Disease	ENTREZ:25939	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
SEC11C	Gene	IPF	Disease	ENTREZ:90701	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
SERPINB5	Gene	IPF	Disease	ENTREZ:5268	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
SERPINB3	Gene	IPF	Disease	ENTREZ:6317	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
TEP1	Gene	IPF	Disease	ENTREZ:7011	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
RANGAP1	Gene	IPF	Disease	ENTREZ:5905	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
APEX1	Gene	IPF	Disease	ENTREZ:328	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
CNDP2	Gene	IPF	Disease	ENTREZ:55748	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
PSIP1	Gene	IPF	Disease	ENTREZ:11168	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
ACO1	Gene	IPF	Disease	ENTREZ:48	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
