TTDDRUID	Drug_id
D02PMO	PUBCHEM:60700
D02PPN	PUBCHEM:4158
D02PWM	PUBCHEM:3182
D02QCD	PUBCHEM:154100
D02QCM	PUBCHEM:45055432
D02QFW	PUBCHEM:11318905
D02QJH	PUBCHEM:6215
D02QPR	PUBCHEM:26003
D02RIV	PUBCHEM:135460345
D02RQU	PUBCHEM:54687
D02RSN	PUBCHEM:149096
D02RXG	PUBCHEM:6918287
D02SBQ	PUBCHEM:62819
D02STN	PUBCHEM:132971
D02TBI	PUBCHEM:20824
D02TJS	PUBCHEM:54676038
D02TLO	PUBCHEM:3690
D02TQO	PUBCHEM:14985
D02TUL	PUBCHEM:118115473
D02UFG	PUBCHEM:441333
D02ULU	PUBCHEM:56843331
D02URM	PUBCHEM:78318119
D02URS	PUBCHEM:4875
D02VCJ	PUBCHEM:443944
D02VFC	PUBCHEM:441199
D02VIT	PUBCHEM:131411
D02VJP	PUBCHEM:25151504
D02VMJ	PUBCHEM:50248
D02VPX	PUBCHEM:5283731
D02WAB	PUBCHEM:11367
D02WCI	PUBCHEM:40632
D02WFK	PUBCHEM:6234
D02WIW	PUBCHEM:16960
D02WUC	PUBCHEM:68548
D02XBW	PUBCHEM:1176
D02XIY	PUBCHEM:448601
D02XJI	PUBCHEM:3219
D02XJY	PUBCHEM:4195
D02XOK	PUBCHEM:6917779
D02XSA	PUBCHEM:5311454
D02YCH	PUBCHEM:3517
D02YIZ	PUBCHEM:12560
D02YPG	PUBCHEM:667484
D02YYF	PUBCHEM:2431
D02ZGI	PUBCHEM:5283748
D02ZJI	PUBCHEM:123600
D02ZTJ	PUBCHEM:5339
D02ZUG	PUBCHEM:72163100
D02ZXM	PUBCHEM:2723601
D03AJU	PUBCHEM:44139752
D03AZK	PUBCHEM:91799284
D03BLF	PUBCHEM:31307
D03CAT	PUBCHEM:5362114
D03CEF	PUBCHEM:6918664
D03CHT	PUBCHEM:134669
D03CJL	PUBCHEM:3168
D03CNS	PUBCHEM:2910
D03CQE	PUBCHEM:5379
D03CUF	PUBCHEM:5323714
D03DAP	PUBCHEM:3356
D03DDR	PUBCHEM:3034034
D03DEI	PUBCHEM:5342
D03DIG	PUBCHEM:5284371
D03DJL	PUBCHEM:6918554
D03DMB	PUBCHEM:6439522
D03DSR	PUBCHEM:2132
D03DVJ	PUBCHEM:7558
D03DXN	PUBCHEM:66435
D03EDQ	PUBCHEM:24776445
D03EEH	PUBCHEM:153921
D03ELL	PUBCHEM:2159
D03EXK	PUBCHEM:410087
D03FCF	PUBCHEM:9854320
D03FLC	PUBCHEM:3878
D03FNJ	PUBCHEM:4842
D03GCJ	PUBCHEM:2583
D03GET	PUBCHEM:4055
D03GOI	PUBCHEM:16134956
D03GVC	PUBCHEM:4121
D03HCZ	PUBCHEM:15424
D03HFG	PUBCHEM:5324346
D03HJK	PUBCHEM:447043
D03HYQ	PUBCHEM:56959
D03HYX	PUBCHEM:441335
D03IDU	PUBCHEM:784
D03IGH	PUBCHEM:213039
